      Id                   X                   Y                   Z     Node    Slice               PINIT
       1        4.9597013718      165.0000000000       10.0000000000        1        1   375273.5114283668
       2        9.9194027435      165.0000000000       10.0000000000        2        1   375402.6330837139
       3       14.8791041153      165.0000000000       10.0000000000        3        1   375640.5601233931
       4       19.8388054871      165.0000000000       10.0000000000        4        1   376026.5388778846
       5       24.7985068588      165.0000000000       10.0000000000        5        1   376603.6547300973
       6       29.7582082306      165.0000000000       10.0000000000        6        1   377455.7219544579
       7       31.0968309825      165.0000000000       10.0000000000        7        1   377734.1120638001
       8       36.0968309829      164.9999999981       10.0000000000        8        1   379014.5331918308
       9       41.0968309834      164.9999999963       10.0000000000        9        1   380704.2570969855
      10       46.0968309838      164.9999999944       10.0000000000       10        1   382869.4012538292
      11       51.0968309842      164.9999999925       10.0000000000       11        1   385473.4251273389
      12       55.8014773297      165.0011762102       10.0000000000       12        1   388307.2967169304
      13       60.5061236752      165.0023524279       10.0000000000       13        1   391433.9806979088
      14       65.2107700207      165.0035286456       10.0000000000       14        1   394792.3582609572
      15       69.9154163662      165.0047048632       10.0000000000       15        1   398331.3402367581
      16       74.6200627117      165.0058810809       10.0000000000       16        1   401985.5135112880
      17       79.3247090572      165.0070572986       10.0000000000       17        1   405709.6422671460
      18       84.0293554027      165.0082335163       10.0000000000       18        1   409471.4999856613
      19       88.7340017483      165.0094097339       10.0000000000       19        1   413245.1834803491
      20       93.4386480938      165.0105859516       10.0000000000       20        1   417015.8285414247
      21       98.1432944393      165.0117621693       10.0000000000       21        1   420774.2555509402
      22      102.8479407848      165.0129383870       10.0000000000       22        1   424516.7504512942
      23      107.5525871303      165.0141146046       10.0000000000       23        1   428241.7822171649
      24      112.2572334758      165.0152908223       10.0000000000       24        1   431947.3868414111
      25      116.9618798213      165.0164670400       10.0000000000       25        1   435633.1900641059
      26      121.6665261668      165.0176432577       10.0000000000       26        1   439298.8700893706
      27      126.3711725123      165.0188194753       10.0000000000       27        1   442944.1708323362
      28      131.0758188578      165.0199956930       10.0000000000       28        1   446569.9446410625
      29      135.7804652033      165.0211719107       10.0000000000       29        1   450170.2750138300
      30      140.4851115488      165.0223481284       10.0000000000       30        1   453722.5733823292
      31      145.1897578943      165.0235243460       10.0000000000       31        1   457186.2806600729
